2,41,6,50
6,34,4,43
4,19,7,36
4,25,6,38
5,5,5,24
5,29,8,47
6,12,6,28
3,37,11,56
4,27,7,41
2,23,6,35
3,20,8,39
4,39,7,49
6,31,5,45
7,4,11,31
4,42,8,57
7,17,6,33
3,6,7,24
3,24,9,45
6,7,6,23
4,19,6,27
5,9,5,22
6,20,9,40
4,29,6,42
4,32,10,55
3,32,6,41
3,35,9,50
5,36,7,52
2,6,8,27
5,28,9,48
3,5,7,25
5,27,10,49
2,3,7,26
3,18,9,38
2,13,8,33
5,20,7,35
5,9,9,33
4,17,7,31
6,7,7,27
6,42,11,62
5,12,10,33
4,37,5,48
2,23,6,32
4,15,6,29
6,19,6,35
4,16,5,28
5,24,10,42
5,9,5,27
2,24,9,42
3,6,10,29
4,36,10,52
4,34,4,46
4,35,7,44
4,37,8,54
7,14,6,31
4,28,9,45
1,8,7,20
6,18,9,35
3,4,7,25
5,38,9,55
3,15,5,30
7,35,8,57
2,22,11,44
4,27,9,44
3,12,9,28
5,12,5,29
3,10,4,24
5,34,9,52
4,17,4,30
3,32,8,49
4,33,11,55
6,4,8,28
2,19,8,31
3,3,7,22
4,17,5,34
2,5,10,29
4,38,5,49
4,33,8,48
3,36,5,48
3,38,4,48
5,19,6,32
4,35,8,47
6,20,6,41
2,17,9,35
4,5,6,23
5,39,7,54
6,25,8,39
6,38,8,58
3,27,9,47
6,30,6,42
6,24,8,40
2,20,10,41
3,17,8,36
1,8,5,19
4,34,7,46
6,13,5,32
5,29,7,46
5,27,5,39
5,29,9,46
2,36,7,52
4,24,7,45
6,7,5,24
2,35,9,50
7,31,7,47
4,25,8,43
4,23,9,40
4,11,8,28
6,17,9,36
6,33,6,43
7,31,7,48
4,21,10,40
3,15,4,27
5,35,7,51
7,20,5,36
3,36,5,41
5,16,8,38
5,35,7,53
2,38,8,49
5,12,8,35
7,13,8,35
5,35,7,47
4,33,10,51
5,10,10,33
7,21,5,36
4,20,7,32
5,29,8,50
1,38,7,49
3,15,8,37
6,11,6,28
4,30,9,48
2,31,9,45
5,29,9,50
5,33,5,45
3,10,10,33
3,33,5,43
5,15,7,32
6,23,9,47
4,19,6,29
5,10,10,38
6,35,7,54
4,24,5,37
3,22,5,34
7,20,6,35
5,37,5,44
6,41,10,56
7,37,8,49
5,31,6,48
4,26,7,45
3,14,8,32
3,21,8,39
5,25,6,41
6,6,6,24
2,16,9,36
5,14,7,30
6,17,4,32
5,9,7,28
2,25,6,37
4,37,8,54
5,15,5,32
3,6,8,26
3,28,8,44
5,20,6,35
4,29,5,40
3,10,9,32
3,19,8,40
2,28,7,42
5,41,9,56
2,17,6,31
2,24,8,40
4,32,7,47
1,31,5,41
4,11,8,28
7,15,7,34
5,27,9,43
3,17,4,31
1,27,7,41
7,6,6,26
7,36,8,55
4,34,4,41
2,30,9,45
7,5,7,30
7,30,6,45
4,15,7,32
6,29,4,41
3,21,6,37
5,22,7,40
3,39,5,52
5,27,7,40
6,31,8,47
3,13,8,35
6,7,8,25
5,12,8,37
2,31,7,47
6,14,7,34
5,26,8,45
5,42,7,52
7,26,4,42
3,11,9,30
5,33,8,51
4,36,9,57
5,21,6,38
7,23,9,46
2,40,9,56
4,14,7,32
5,10,11,37
4,14,8,34
5,36,6,44
4,40,7,52
7,14,7,35
3,13,9,29
7,7,7,28
1,17,8,35
3,4,7,27
3,7,8,26
4,29,9,49
5,13,8,33
4,22,9,45
6,17,7,34
3,29,4,36
4,24,8,41
5,14,9,37
3,16,8,40
4,6,8,29
3,15,11,38
4,17,4,29
4,26,7,41
4,32,9,50
5,18,8,38
4,30,8,44
6,25,7,44
2,9,8,29
3,28,9,45
4,11,8,31
4,13,9,32
6,6,7,30
4,15,4,26
5,11,6,27
3,6,5,22
5,15,10,42
1,21,7,38
6,26,10,48
6,28,8,46
4,10,5,24
5,29,4,38
7,5,10,32
5,22,5,38
4,16,7,32
3,30,9,45
3,20,4,35
2,35,8,46
